5 trials/test,,,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Manually Scaled Speed,Theoretical Speed,Jetstream Calc Speed,Jetstream Speed,No Autoscaler,,Autoscaler Speed
Stan. Deviation,Nodes=Actor,Workers/Node,Msg/Worker,# of Flop,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Script Time,Calc Time,GFlop/s Clock,GFlop/s Script,GFlop/s Calc,Theory GFlops,JS GFlops Calc,JS GFlops Script,Percentage Of JS,,GFlop/s Calc
1000,1,6,5,"30,718,080,000,000.00",217.8369008,0.602468526,16.76166151,0.362070479,200.6873813,28.663476,970.06311,961.2236657,768.0367517,141.0141252,191.7435937,239.9735163,316.8,257.0912285,184.3623847,76.4874708,,218.4209863
Size,1,6,5,"30,718,080,000,000.00",214.085374,0.4902772158,16.65030738,0.3606560039,197.0508688,33.046216,1070.227017,1061.120115,873.9726768,155.6042892,173.6923817,210.8858605,316.8,257.0912285,184.3623847,84.40132159,,225.1907113
8000,1,6,5,"30,718,080,000,000.00",212.7371352,0.5514119789,18.70917173,0.3572514253,193.6463541,26.322665,1074.08502,1066.389558,882.0865808,158.3376758,172.8341005,208.9460196,316.8,257.0912285,184.3623847,85.88393781,,218.367719
,1,6,5,"30,718,080,000,000.00",207.3936812,0.5038661538,16.67008096,0.3607886732,190.3388193,28.516209,1063.713189,1056.260625,871.1841362,161.0809814,174.4914802,211.5608771,316.8,257.0912285,184.3623847,87.37193415,,202.4519583
,1,6,5,"30,718,080,000,000.00",213.3711053,0.5249624359,18.69902465,0.3554593781,194.2948872,31.784569,1067.958955,1059.930301,875.3422825,157.8115865,173.8873583,210.5558976,316.8,257.0912285,184.3623847,85.59858168,83.94864921,204.7875027
,2,6,5,"61,436,160,000,000.00",225.9005116,1.523355929,21.8380551,0.5659531681,203.4537016,58.144204,2058.136094,2039.712968,1660.737198,301.1286343,361.4400318,443.9196766,633.6,514.182457,368.7247694,81.66759037,,437.1040062
,2,6,5,"61,436,160,000,000.00",216.0506165,1.00974417,21.44108528,0.56254157,194.0000164,56.240003,2147.879447,2130.620616,1752.938942,315.7655853,346.0183922,420.570222,633.6,514.182457,368.7247694,85.63720461,,433.2895415
,2,6,5,"61,436,160,000,000.00",216.7301193,1.07492913,21.35239913,0.5603947747,194.7698454,53.734184,2164.514869,2147.06213,1774.874865,314.524571,343.3686943,415.3723367,633.6,514.182457,368.7247694,85.30063535,,430.201861
,2,6,5,"61,436,160,000,000.00",225.4110637,1.003439575,23.30672872,0.5605129697,201.5041228,67.423177,2178.278437,2160.881178,1780.153518,304.0421188,341.1728177,414.1406416,633.6,514.182457,368.7247694,82.45774192,,423.3534994
,2,6,5,"61,436,160,000,000.00",223.9309333,1.091384478,23.35982598,0.560842739,199.9618362,73.394635,2106.83009,2088.113935,1681.792611,306.3801079,353.0621138,438.3619687,633.6,514.182457,368.7247694,83.09181624,83.6309977,422.8223157
,3,6,5,"92,154,240,000,000.00",232.0129066,1.512808498,19.94600493,0.6673877952,211.3405219,120.327281,2975.389487,2948.670013,2386.142731,434.6735937,562.5506797,695.1706192,950.4,771.2736855,553.0871542,78.5904338,,634.2334735
,3,6,5,"92,154,240,000,000.00",222.7808782,1.47109499,25.93311665,0.6601501829,196.1229814,81.216849,3243.787256,3220.367634,2659.003039,468.3035546,515.0891167,623.8339317,950.4,771.2736855,553.0871542,84.67084275,,634.2334735
,3,6,5,"92,154,240,000,000.00",223.840026,1.455390294,25.87101539,1.365939799,196.5441495,89.686706,3268.695953,3243.384639,2683.598441,465.6368977,511.433735,618.116442,950.4,771.2736855,553.0871542,84.18870231,,634.2334735
,3,6,5,"92,154,240,000,000.00",225.3538947,1.501390944,25.93707091,0.661253151,198.6893424,86.04971,3244.092524,3217.824523,2659.426933,462.2722082,515.4962019,623.734497,950.4,771.2736855,553.0871542,83.58035524,,634.2334735
,3,6,5,"92,154,240,000,000.00",226.2452535,1.459490494,25.88393628,0.7596504306,199.5342861,102.529283,3230.521646,3202.035707,2643.92527,460.0950063,518.0380457,627.3915298,950.4,771.2736855,553.0871542,83.18670988,82.8434088,634.2334735
,5,6,5,"153,590,400,000,000.00",235.4762777,2.556150886,21.1746301,1.166508472,213.0265143,138.129365,4815.759,4775.275826,3847.111262,717.0653741,964.9101262,1197.706977,1584,1285.456143,921.8119236,77.78868505,,1057.055789
,5,6,5,"153,590,400,000,000.00",223.8710314,2.512697231,23.17910294,1.063769208,199.5142746,157.49355,5446.266013,5402.425958,4458.58449,765.7388471,852.8968348,1033.447277,1584,1285.456143,921.8119236,83.0688807,,1057.055789
,5,6,5,"153,590,400,000,000.00",229.7323106,2.619355599,27.25217282,1.465680218,200.9079527,144.839136,5418.2822,5376.755255,4435.988273,758.9447192,856.9688932,1038.711493,1584,1285.456143,921.8119236,82.33184013,,1057.055789
,5,6,5,"153,590,400,000,000.00",229.4768358,2.451880486,27.10043153,1.162965974,201.1115367,151.841749,5486.58287,5446.303289,4504.633344,759.3166613,846.0255986,1022.882807,1584,1285.456143,921.8119236,82.37218914,,1057.055789
,5,6,5,"153,590,400,000,000.00",239.6179547,2.592659144,29.21477824,1.163230327,209.1273805,198.875875,5385.254486,5341.917391,4382.663133,730.3721235,862.5577041,1051.349798,1584,1285.456143,921.8119236,79.23222783,80.95876457,1057.055789
,8,6,5,"245,744,640,000,000.00",239.5190939,3.874151651,24.89965642,1.468497201,212.9812672,253.766002,8020.565445,7945.997313,6415.069809,1145.931033,1484.488637,1838.755161,2534.4,2056.729828,1474.899078,77.69555557,,1691.289263
,8,6,5,"245,744,640,000,000.00",231.7818833,3.99250756,22.97487934,1.464868023,207.1736489,319.316237,8646.413994,8575.778659,7075.341823,1177.848863,1375.471918,1667.16224,2534.4,2056.729828,1474.899078,79.85962437,,1691.289263
,8,6,5,"245,744,640,000,000.00",227.3043824,3.770714025,24.75996405,1.668564701,200.7156089,292.700696,8583.309898,8515.749083,6995.730794,1214.248306,1385.167952,1686.134454,2534.4,2056.729828,1474.899078,82.32755208,,1691.289263
