,,,,,,,,,,,,Manually Scaled Speed,Manually Scaled Speed,Jetstream Speed,Theoretical,,No Autoscaler,5 trials/test,,Autoscaler Speed
Node=Actor(s),Workers/Node,Msg/Worker,Entire Run Time,Worker Start T,Worker Ready T,Msg Send Time,Post-Msg Time,Exec Init Time,Exec Run Time,Calc Time,Hashes,Hashrate,HASHRATE,JS Hashrate Script,Ideal Hashrate,Percentage,% Average,hashes/msg:,Average Worktime = sum(in script worktimes)/len(in script worktimes),HASHRATE
1,6,6,213.1170042,0.5578089859,14.73242325,0.4735666714,197.8871808,25.749874,939.228712,954.2932128,108000000,506763.8804,679036.5805,732627.1665,689927.8011,69.17077383,,"3,000,000.00",Average Abaco Msgtime = sum(abaco_startedAts-abaco_startTimes)/len(same thing),523110.1927
1,6,6,187.4598286,0.4860732211,14.65080148,0.3868909799,172.3990533,26.133133,952.525879,952.8096495,108000000,576123.4331,680093.868,732627.1665,680296.4773,78.63801117,,,Average Abaco Worktime = sum(abaco_FinishedAts-abaco_startedAts)/len(same thing),521416.3632
1,6,6,191.5409393,0.5097546373,14.67183241,0.4658441031,176.3813954,27.216374,955.677235,956.4294772,108000000,563848.1276,677519.8961,732627.1665,678053.1923,76.96249243,,,Average other Abacos,525127.4926
1,6,6,194.9982704,0.5261960807,16.70447358,0.363453194,177.9101329,27.907168,952.840118,953.9057858,108000000,553851.0665,679312.3699,732627.1665,680072.121,75.59794283,,,,517906.7406
1,6,6,189.565126,0.5186403771,16.68935191,0.4645330789,172.3912709,29.179175,949.152079,949.3051071,108000000,569725.0452,682604.5653,732627.1665,682714.619,77.76466275,75.6267766,,,537941.0632
2,6,6,213.3841353,1.04694334,15.31837293,0.667192501,197.3515006,58.64087,1887.66531,1888.662327,216000000,1012258.947,1372399.906,1465254.333,1373124.773,69.08418038,,,,1063245.446
2,6,6,191.7088992,1.000469292,17.28872762,0.6584724421,173.7194471,61.901041,1881.777269,1882.848606,216000000,1126708.259,1376637.501,1465254.333,1377421.251,76.89506411,,,,1068474.289
2,6,6,196.0226621,0.9996280754,17.27354974,0.662758769,178.0398275,67.784092,1882.88506,1884.63492,216000000,1101913.41,1375332.683,1465254.333,1376610.848,75.20287673,,,,1076870.934
2,6,6,194.5901811,0.9826441458,19.27629747,0.6600832827,174.6134702,63.94568,1895.861746,1896.900283,216000000,1110025.176,1366439.777,1465254.333,1367188.301,75.75648477,,,,1040405.099
2,6,6,196.0740658,0.971761106,17.26713744,0.6598633099,178.1032873,61.079825,1909.962085,1911.693261,216000000,1101624.527,1355866.055,1465254.333,1357095.002,75.1831612,74.42435344,127800,,1054218.044
3,6,6,238.9491464,1.518571285,17.9228282,0.7793031461,220.1859881,75.874693,2846.879242,2847.920887,324000000,1355937.047,2047809.694,2197881.5,2048558.967,61.69290963,,,,1622996.366
3,6,6,192.961669,1.524872724,15.95423,0.869652017,176.0803381,90.930299,2837.195447,2839.115821,324000000,1679089.954,2054160.65,2197881.5,2055551.022,76.39583638,,,,1595781.176
